Film,Director,tmdbrating,overview,genre
Para toda la vida,René Bueno,7.951,"It was a chance meeting started by one of Sol’s friends trying to chat up Jennifer. However, in the end, it was those two who hit it off. Sol enjoyed Jen’s smile, her effort, and how silly she could be. Jen enjoyed Sol’s cooking, his athleticism, and that he would join her in fun moments. As you can imagine, love bloomed, and things got serious. Jen’s investment in Sol led to her pushing him to follow his dreams and even move in to save money. Sol’s investment in Jen well, it led to him proposing. But what started as a liver tumor grew into full-on cancer, so with a diagnosis of 6 months to live, Sol and Jennifer try to make the best of it.",Romance
Pasitos a la fama,Carlos Carrera,,,
Peligro en tu mirada,Raúl Caballero,7.1,"A female photographer is coerced into spying on the affaire of a political candidate, becoming the sole witness of a crime of which he is falsely accused",Drama
Pérdida total,Enrique Begné,,,
Peregrinación a San Antonio,Diego Graue,0.0,,
Permitidos,Raúl Martínez,6.1,"Mateo and Camila, a couple that allow each other being unfaithful with a unreachable someone chosen by each.",Romance
Plaza Catedral,Abner Benaim,6.786,"Alicia is a 42-year-old-woman whose grief has caused her estrangement from society. Her world is turned upside down when 14-year-old Chief, a young boy who looks after people’s cars, stumbles into her house, bleeding.",Drama
Pobo' Tzu',"Yollotl Alvarado Gómez,Tania Ximena Ruiz Santos",0.0,"In 1982, the eruption of the Chichonal volcano, in southern Mexico, buried the Zoque indigenous town of Guayabal. After 38 years, the owners of Nuevo Guayabal rebuild their lives while the volcano and the old village lurk under the brushwood. Trinidad, a poet born on the day of the eruption, has dreams which spark a collective effort in his community to unearth their old home.",Documentary
Podcast,Julio César Estrada,7.4,"Back in May 2013, The One Piece Podcast managed to run a successful Kickstarter which funded a trip to Japan to film a One Piece documentary like none other. It has been a long road, but the wait is over. “The One Piece Podcast Goes to Japan” features interviews with some of the biggest names in the One Piece franchise, exclusive access to One Piece and Shonen Jump events, and even the thoughts and opinions of fans from around Japan!",Documentary
Pola Weiss,Alejandra Arrieta,,,
Polvo de gallo,Julio López Fernández,6.6,"Huachindango is the small capital of a small Central American country. In this city, women must enter rooms managed by “The System” at different times in their lives, where there are different types of sexual assault. No woman in Huachindango escapes from entering, at one or more moments in her life, to these rooms. There is one room that is the most feared of all: Cock’s Quickie.",Drama
Por favor no me abandones,Antonio Rotunno,0.0,"In the last years Helena has been living a happy life with Jesus, her boyfriend. But she has a dark and problematic past dealing with drugs and emotional issues. When she discovers something that makes her think their relationship will end, an avalanche of insecurities, anxiety and mental instability provoke a violent outburst that changes everything. Regular life at home and at work doesn't seem to be easy when a crime has occurred.",
Por mi hija,Fernando Rodríguez,5.0,,Drama
Poseído,Javier Ruiz,4.8,"Cristian is attacked by an evil entity , her mother did not know what to do , his godfather father Ernesto fought to save him and thus regain the faith of the people.",Horror
Presencias,Luis Mandoki,6.9,"A man who loses his wife and goes to seclude himself in a cabin in the woods, where strange things happen.",Horror
Querida Nancy,Olivia Peregrino,0.0,Documentary about the life of Nancy Cárdenas who was the pioneer of the LGBT movement in Mexico.,
Reemplazables,René Olivas Gastélum,,,
Rock x la vida El documental,Alejandro Tavares López,0.0,"Rock For Life: The Documentary is an audiovisual project synthesizing the work done in 14 years by Rock X La Vida. The only music festival in the world dedicated to promoting the mental health of its attendees: young and not so young, with a solid message to promote the fight against suicide. This theme worried the founders of the festival, and that to date remains its highest flag.",
Ruido,Natalia Beristáin,7.143,"Julia is a mother, or rather, one of many mothers, sisters, daughters, colleagues, who have had their lives torn apart by the widespread violence in a country waging a war against its women. Julia is searching for Ger, her daughter. And in her search, she will weave through the stories and struggles of the different women she will meet.",Drama
Sacrificios,Mauricio Chernovetzky,0.0,"After suffering a traumatic loss, Juan attempts to find solace in the vastness of the sea. There a miraculous event promises to reverse everything...but at what cost?",
San Jhonny,Arturo Pulido,,,
"Sangre, sudor y llaves","Guinduri Arroyo, Orlando Jiménez Ruiz",,,
Santuario El viaje perrote de Paty Aguirre,Christian Sida,,,
Semillas de pólvora,Arturo González Villaseñor,,,
Silencios,Gladys Lizárraga,7.0,,Drama
Sin ti no puedo,Chus Gutiérrez,5.727,"A gay gym teacher wants to be a father and when his boyfriend's sister, a former addict, comes back on the scene there is now a possible solution.",Thriller
Sirena,Miguel Ángel Contreras Pelayo,2.0,"Documentary that tells the story of Vianney Trejo, a young woman who struggles every day despite her disability. We go through her daily routine, as well as her passion, swimming, where she has consistently achieved triumphs and has been considered for international competitions.",Documentary
Sleepwalk,Ricardo González Silva,5.6,"When Nicole, a young copy-shop employee, is hired to translate an ancient Chinese manuscript, she soon finds that the document has strange powers that little by little begin to exert an eerie influence over her life.",Fantasy
Sombría,Juan Pablo Cortés,5.477,"When strange, supernatural murders suddenly become the talk a peaceful town, two detectives must solve a deadly game, but will the myth of this game reveal secrets too close to home.",Crime
Sonus,Diego del Río,6.6,Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romace.,Romance
Soundtrack,Humberto Abiel Garza,6.6,"Loud music, substance and alcohol abuse wreck the life and career of a talented music DJ, but Gauri helps him overcome his difficulties.",Drama
Tare,"Andrea Martínez Crowther, Tenoch Huerta",2.0,,
Te buscaré hasta encontrarte,Ludovic Bonleux,,,
Te nombré en el silencio,José María Espinosa de los Monteros,8.0,"The Rastreadoras de El Fuerte are a group of mothers of disappeared persons in northern Sinaloa who, in the absence of the authorities, twice a week go out with picks and shovels in search of the remains of their children; a testimony of the abandonment of the State, the aggressions of the drug traffickers, the indifference of society and the pain, but also of the strength and courage that keep these women together, and of their empowerment to mobilize society in community organization.",Documentary
Tengo un sueño La película,Carlos Lara,,,
The Cartel Project,Jules Giraudat,8.0,A documentary thriller recording a deadly dangerous investigation by international reporters to expose the impunity of drug lords and the complicity of political leaders in their crimes.,Documentary
The Juniors y la fórmula imperial,Ricardo Tavera,0.0,"7 multimillionaire boys who venture into planning a social revolution, generated by video scandals and medical experiments. Its aim is to generate a change in the world's ideology and its problems with discrimination, sexting, cyber-bullying, their fathers, the conflict between social classes and the confrontation with their domestic girls. The film tells the life of Austin, a boy with absent and mysterious parents, who has a risky life changing the scientific and biological patterns in the world. The plot revolves around Austin Ibargüengoitia's obsessive intention and his close relationship with his best friends and money, creating a movement called ""The Distortionist Movement"", this movement tries to alter conventional social norms, its goal: to create a higher economic class than the existing one, but to reveal it, these seven teenage billionaires, set out to prove their loyalty by doing a task that will shake the world, in doing so they will reveal a school that has existed in ...",Comedy
Todos sus muertos,Antonio Kasis,,,
"Tonantzin, Guadalupe",Jesús Muñoz,,,
Tótem,Lila Avilés,5.153,A teen must resort to extreme measures to protect her family from a supernatural entity.,Horror
Transition,Alejandro Torres Kennedy,9.0,A drama centred on three people: Sarah is a barista who finds the love of her life in Mark. Her mother Barbara depends on Mark to keep her in Sarah's life while resenting her daughter's deep love for him. When severely traumatised by the sudden death of Mark Sarah's relationship with her mother finally cracks. Now faced with losing her struggle to cope Sarah feels Mark's presence return. Based on true events Transition is the story of a love that transcends this realm and the strength of human character in survival.,Drama
